variant	find_extent_clone	process_extent	process_recorded_refs	get_cur_path	get_first_ref	send_cmd	get_inode_info	inode_item_tree_reads	btrfs_search_slot	btrfs_clone_extent_buffer
baseline	28968	28970	57787	123219	NA	220604	1380373	1380373	1940917	1915888
scalar_lookup	28968	28970	57787	123219	NA	220604	1380373	1380373	1940917	535515
inode_cache	28968	28970	57787	123219	NA	220604	1380373	256874	817418	792389
inode_cache_scalar	28968	28970	57787	123219	NA	220604	1380373	256874	817418	535515
inode_cache_scalar_dir_item	28968	28970	57787	123219	124718	220604	1380373	256874	817418	243921
inode_cache_scalar_dir_item_first_ref	28968	28970	57787	123219	124718	220604	1380373	256874	817418	117809
stream_no_clone	0	28970	57787	123219	NA	220604	1380373	1380373	1893808	1915888
inode_cache_stream_no_clone	0	28970	57787	123219	NA	220604	1380373	256874	770309	792389
